Number_of_Drones,Normalized_Distance
1,1.11111
1,1.33333
1,1.25
1,1.25
1,1.5
1,1.25
1,1.25
1,1.5
1,1.16667
1,1.16667
1,1.25
1,1.2
1,1.2
1,1.33333
1,1.25
1,1.25
1,1.25
1,1.16667
1,1.5
1,1.2
1,1.2
1,1.2
1,1.25
1,2.0
1,2.0
1,1.25
1,2.0
1,1.25
1,1.5
1,1.11111
2,2.39286
2,2.64286
2,2.75
2,2.53333
2,2.45
2,2.66667
2,2.5
2,2.53333
2,2.58333
2,2.6
2,2.45
2,3.14286
2,2.5
2,2.5
2,3.5
2,2.45
2,2.5
2,2.39286
2,3.2
2,3.5
2,2.29167
2,2.75
2,2.64286
2,3.25
2,2.4
2,2.375
2,2.45
2,2.83333
2,2.39286
2,2.66667
3,3.79167
3,4.08333
3,3.73333
3,3.47619
3,3.65833
3,3.91667
3,3.64286
3,4.66667
3,4.36667
3,4.75
3,3.95
3,4.47619
3,4.66667
3,4.83333
3,3.825
3,3.66667
3,4.14286
3,3.6
3,3.78333
3,3.95833
3,3.78333
3,3.78333
3,3.95
3,3.42857
3,3.97619
3,3.56667
3,3.91667
3,4.16667
3,3.94444
3,3.9
4,5.03333
4,6.58333
4,5.19444
4,5.06667
4,4.61071
4,5.66667
4,5.39286
4,5.14286
4,5.5
4,5.80952
4,5.53333
4,5.75
4,6.03333
4,6.08333
4,6.34286
4,5.7
4,5.66667
4,5.06667
4,5.81111
4,4.70833
4,6.08333
4,5.22619
4,5.30952
4,6.45833
4,5.7
4,5.73333
4,5.08333
4,5.55952
4,5.11667
4,4.86905
5,7.03333
5,6.24167
5,6.36667
5,6.97619
5,6.16667
5,7.33333
5,7.0119
5,6.78333
5,6.98333
5,6.92619
5,6.12619
5,6.36667
5,6.5
5,7.39286
5,6.5
5,6.45
5,6.76944
5,7.87619
5,6.33333
5,6.65833
5,7.59286
5,5.875
5,7.0
5,6.31667
5,6.15
5,6.43333
5,6.25
5,6.51667
5,7.0
5,6.58333
6,7.83333
6,7.44405
6,7.47619
6,8.65
6,8.18571
6,8.30952
6,8.41667
6,9.06667
6,7.87619
6,8.83333
6,8.36667
6,7.5
6,8.0
6,7.53333
6,8.5
6,8.36667
6,7.97619
6,8.34286
6,7.58333
6,7.93333
6,7.78333
6,8.75
6,8.45
6,7.075
6,8.24167
6,8.09444
