Number_of_Drones,Routing_Time
1,9.0
1,3.0
1,4.0
1,4.0
1,2.0
1,4.0
1,4.0
1,2.0
1,6.0
1,6.0
1,4.0
1,5.0
1,5.0
1,3.0
1,4.0
1,4.0
1,4.0
1,6.0
1,2.0
1,5.0
1,5.0
1,5.0
1,4.0
1,1.0
1,1.0
1,4.0
1,1.0
1,4.0
1,2.0
1,9.0
2,7.0
2,7.0
2,4.0
2,5.0
2,5.0
2,3.0
2,4.0
2,5.0
2,4.0
2,10.0
2,5.0
2,7.0
2,6.0
2,4.0
2,2.0
2,6.0
2,6.0
2,7.0
2,5.0
2,2.0
2,8.0
2,4.0
2,7.0
2,4.0
2,5.0
2,8.0
2,5.0
2,3.0
2,7.0
2,6.0
3,8.0
3,4.0
3,5.0
3,7.0
3,8.0
3,6.0
3,7.0
3,3.0
3,6.0
3,4.0
3,5.0
3,7.0
3,3.0
3,3.0
3,8.0
3,6.0
3,7.0
3,5.0
3,5.0
3,8.0
3,5.0
3,5.0
3,5.0
3,7.0
3,7.0
3,6.0
3,4.0
3,3.0
3,9.0
3,5.0
4,5.0
4,5.0
4,9.0
4,5.0
4,9.0
4,3.0
4,7.0
4,7.0
4,4.0
4,7.0
4,5.0
4,5.0
4,5.0
4,4.0
4,7.0
4,5.0
4,3.0
4,5.0
4,9.0
4,9.0
4,4.0
4,7.0
4,8.0
4,8.0
4,5.0
4,5.0
4,6.0
4,8.0
4,6.0
4,8.0
5,6.0
5,8.0
5,6.0
5,7.0
5,7.0
5,5.0
5,8.0
5,5.0
5,5.0
5,7.0
5,7.0
5,6.0
5,6.0
5,7.0
5,7.0
5,6.0
5,10.0
5,7.0
5,6.0
5,9.0
5,7.0
5,10.0
5,8.0
5,6.0
5,6.0
5,6.0
5,6.0
5,8.0
5,6.0
5,6.0
6,8.0
6,8.0
6,7.0
6,7.0
6,7.0
6,7.0
6,4.0
6,5.0
6,7.0
6,5.0
6,6.0
6,6.0
6,6.0
6,6.0
6,7.0
6,5.0
6,7.0
6,8.0
6,7.0
6,10.0
6,8.0
6,6.0
6,6.0
6,8.0
6,8.0
6,9.0
6,7.0
6,8.0
6,6.0
6,7.0
7,6.0
7,7.0
7,7.0
7,7.0
7,6.0
7,7.0
7,6.0
7,8.0
7,8.0
7,7.0
7,6.0
7,7.0
7,6.0
7,8.0
7,7.0
7,7.0
7,7.0
7,9.0
7,6.0
7,8.0
7,5.0
7,7.0
7,6.0
7,8.0
7,7.0
7,6.0
7,7.0
7,7.0
7,5.0
7,7.0
8,8.0
8,11.0
8,9.0
8,7.0
8,7.0
8,6.0
8,6.0
8,5.0
8,6.0
8,7.0
8,7.0
8,7.0
8,6.0
8,8.0
8,5.0
8,8.0
8,9.0
8,7.0
8,6.0
8,8.0
8,7.0
8,5.0
8,8.0
8,8.0
8,10.0
8,12.0
8,6.0
8,6.0
8,7.0
8,9.0
9,6.0
9,6.0
9,10.0
9,7.0
9,8.0
9,7.0
9,11.0
9,7.0
9,9.0
9,6.0
9,10.0
9,8.0
9,6.0
9,7.0
9,8.0
9,8.0
9,6.0
9,7.0
9,9.0
9,7.0
9,8.0
9,6.0
9,7.0
9,7.0
9,8.0
9,7.0
9,10.0
9,10.0
9,7.0
9,9.0
10,5.0
10,6.0
10,6.0
10,8.0
10,7.0
10,7.0
10,10.0
10,9.0
10,6.0
10,7.0
10,8.0
10,8.0
10,8.0
10,6.0
10,8.0
10,8.0
10,7.0
10,8.0
10,7.0
10,7.0
10,7.0
10,6.0
10,8.0
10,7.0
10,6.0
10,11.0
10,7.0
10,7.0
10,7.0
10,8.0
11,8.0
11,7.0
11,8.0
11,8.0
11,11.0
11,9.0
11,8.0
11,8.0
11,7.0
11,8.0
11,9.0
11,9.0
11,6.0
11,9.0
11,8.0
11,9.0
11,10.0
11,7.0
11,8.0
11,8.0
11,8.0
11,7.0
11,7.0
11,7.0
11,9.0
11,7.0
11,9.0
11,10.0
11,8.0
11,9.0
12,11.0
12,9.0
12,8.0
12,8.0
12,9.0
12,9.0
12,7.0
12,8.0
12,10.0
12,7.0
12,7.0
12,9.0
12,9.0
12,9.0
12,8.0
12,8.0
12,8.0
12,8.0
12,8.0
12,7.0
12,10.0
12,9.0
12,8.0
12,9.0
12,11.0
12,10.0
12,7.0
12,9.0
12,7.0
12,7.0
13,8.0
13,11.0
13,8.0
13,10.0
13,11.0
13,9.0
13,8.0
13,9.0
13,9.0
13,7.0
13,8.0
13,11.0
13,7.0
13,10.0
13,9.0
13,7.0
13,8.0
13,10.0
13,9.0
13,8.0
13,8.0
13,9.0
13,10.0
13,8.0
13,8.0
13,8.0
13,9.0
13,7.0
13,7.0
13,7.0
14,10.0
14,7.0
14,9.0
14,8.0
14,10.0
14,7.0
14,7.0
14,9.0
14,9.0
14,9.0
14,9.0
14,8.0
14,7.0
14,7.0
14,11.0
14,8.0
14,7.0
14,8.0
14,9.0
14,7.0
14,8.0
14,7.0
14,9.0
14,7.0
14,8.0
14,10.0
14,9.0
14,11.0
14,8.0
14,10.0
15,9.0
15,8.0
15,10.0
15,10.0
15,9.0
15,10.0
15,7.0
15,10.0
15,9.0
15,10.0
15,8.0
15,12.0
15,8.0
15,9.0
15,8.0
15,11.0
15,8.0
15,8.0
15,10.0
15,10.0
15,9.0
15,9.0
15,8.0
15,7.0
15,10.0
15,10.0
15,10.0
15,11.0
15,7.0
15,7.0
16,12.0
16,9.0
16,9.0
16,7.0
16,10.0
16,9.0
16,8.0
16,8.0
16,10.0
16,10.0
16,8.0
16,8.0
16,8.0
16,9.0
16,10.0
16,10.0
16,10.0
16,8.0
16,9.0
16,9.0
16,8.0
16,11.0
16,7.0
16,8.0
16,9.0
16,8.0
16,9.0
16,8.0
16,11.0
16,9.0
17,9.0
17,9.0
17,10.0
17,9.0
17,10.0
17,8.0
17,11.0
17,10.0
17,9.0
17,7.0
17,10.0
17,10.0
17,10.0
17,11.0
17,9.0
17,9.0
17,8.0
17,8.0
17,8.0
17,10.0
17,13.0
17,8.0
17,10.0
17,9.0
17,12.0
17,11.0
17,10.0
17,10.0
17,10.0
17,10.0
18,8.0
18,10.0
18,9.0
18,10.0
18,7.0
18,12.0
18,8.0
18,9.0
18,10.0
18,10.0
18,10.0
18,12.0
18,10.0
18,9.0
18,8.0
18,10.0
18,9.0
18,7.0
18,9.0
18,9.0
18,9.0
18,9.0
18,9.0
18,9.0
18,9.0
18,10.0
18,11.0
18,8.0
18,8.0
18,12.0
19,9.0
19,10.0
19,9.0
19,9.0
19,12.0
19,12.0
19,11.0
19,9.0
19,13.0
19,10.0
19,11.0
19,12.0
19,10.0
19,10.0
19,9.0
19,11.0
19,11.0
19,9.0
19,9.0
19,10.0
19,10.0
19,11.0
19,9.0
19,8.0
19,12.0
19,11.0
19,10.0
19,8.0
19,8.0
19,9.0
20,9.0
20,12.0
20,9.0
20,10.0
20,11.0
20,10.0
20,10.0
20,9.0
20,10.0
20,11.0
20,9.0
20,10.0
20,12.0
20,9.0
20,9.0
20,8.0
20,10.0
20,10.0
20,11.0
20,8.0
20,10.0
20,8.0
20,11.0
20,9.0
20,9.0
20,9.0
20,10.0
20,11.0
20,11.0
